RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4187276963,1,53,1,4,,,,,1,,,,1,0,German,1,,7,7,,5 feet 3 inches,1.6,295,133.81,52.26,5,6,4,7,5,4,5,7,7,7,4,5
4187277644,1,30,1,2,1,,,,,,,,5,4,,1,,7,3,,5'7,1.7,155,70.31,24.28,5,4,7,4,7,7,4,7,4,4,3,7
4187279367,1,47,1,4,,,,,1,,,,4,4,,1,,7,5,,5.2,1.57,155,70.31,28.35,4,4,3,2,4,5,3,4,7,5,2,6
4187279572,1,62,1,2,,,,1,,,,,2,6,,1,,7,4,,5' 2,1.57,117,53.07,21.4,5,5,6,6,5,5,5,5,6,6,6,4
4187279850,1,29,1,4,,,,,,,1,,3,1,,1,,7,4,,5'2,1.57,164,74.39,30,3,4,5,5,4,3,3,3,4,4,3,5
4187281242,1,51,1,6,,,,1,,,,,3,4,,1,,7,9,,5'7,1.7,180,81.65,28.19,4,4,4,4,3,4,4,4,4,3,3,3
4187282349,1,51,1,2,,,,,1,,,,1,0,white,1,,7,5,,5ft5in,1.65,150,68.04,24.96,3,5,4,6,4,3,6,6,6,5,5,4
4187282811,1,55,1,3,,,,1,1,1,,,2,0,Caucasion,1,,7,7,,5ft0in,1.52,248,112.49,48.43,2,1,1,2,1,3,2,2,1,1,1,2
4187283764,1,28,1,3,1,,,,,,,,3,4,,1,,7,1,,"5""""9",1.75,236,107.05,34.85,5,4,5,4,5,4,5,4,5,4,5,4
4187284623,1,56,1,3,,,,1,,,,,3,0,Caucasian,1,,6,9,,5'6,1.68,212,96.16,34.22,1,3,1,1,2,1,1,1,2,2,2,1
4187286612,1,64,1,6,,,,,1,,,,1,5,,1,,7,6,,5'2,1.57,145,65.77,26.52,4,3,5,4,5,3,3,4,5,5,4,5
4187287200,1,18,1,1,,,1,,,,,,3,4,,1,,7,7,,5'2,1.57,125,56.7,22.86,6,7,7,7,6,7,7,7,6,7,4,7
4187287722,1,56,1,3,,,,,,,1,,2,4,,1,,7,5,,5'8,1.73,170,77.11,25.85,3,4,1,4,3,2,3,3,4,4,3,4
